,游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数,开发游戏个数,isdata,score,Chinese,English,Japanese,Korean,heat,year,month,day,pay,system,containGames,gameversion
998,单车男孩,,益智休闲,英文,30℃,2014/11/28,1.7,完全免费,Runner Games,2.3以上,63,28,2,0,0,0,1,0,0,30,2,25,764,1,2.3,1,1 
999,僵尸城防御汉化破解版,7.6,策略塔防,中文,30℃,2014/9/22,1.1.2,完全免费,Mozg Labs,4.0以上,944,708,1,0,1,1,0,0,0,30,2,27,831,1,4,0,1 
1000,最强塔防(含数据包),7.9,策略塔防,英文,30℃,2014/9/8,1.27,完全免费,SMG Studio,2.3以上,934,182,1,1,1,0,1,0,0,30,2,27,845,1,2.3,0,1 
1001,明日边缘(含数据包),7.1,动作游戏,中文,30℃,2014/6/6,1.0.3,完全免费,WBIE,4.0以上,1698,817,5,1,0,1,0,0,0,30,2,30,939,1,4,0,1 
1002,世界防御,5,策略塔防,英文,30℃,2014/5/5,1.2.2,完全免费,FridgeCat Software,2.3以上,68,57,2,0,0,0,1,0,0,30,2,31,971,1,2.3,0,1 
1003,星际快车(含数据包),7.8,竞速游戏,英文,30℃,2013/12/5,1.4,完全免费,Jujubee S.A.,2.0.1以上,749,43,1,1,1,0,1,0,0,30,3,36,1122,1,2.01,0,1 
1004,后院弓箭手,,益智休闲,英文,30℃,2013/12/30,1.06,完全免费,RedWall Games,2.3.3以上,34,1,1,0,0,0,1,0,0,30,3,36,1097,1,2.33,1,1 
1005,疯狂引擎专业版(含数据包),7.8,竞速游戏,英文,30℃,2013/10/21,1.5.0,完全免费,Level Eight AB,2.2以上,720,35,1,1,1,0,1,0,0,30,3,38,1167,1,2.2,0,1 
1006,泊车大挑战,,益智休闲,英文,30℃,2013/7/8,2.5,完全免费,Dualcarbon,4.1以上,51,1,1,0,0,0,1,0,0,30,3,41,1272,1,4.1,0,2 
1007,仙境传说紫罗兰,7.5,角色扮演,中文,30℃,2012/11/28,1,完全免费,,2.1以上,800,135,0,0,1,1,0,0,0,30,4,49,1494,1,2.1,0,1
1008,碧湖垂钓完整版,,益智休闲,英文,30℃,2012/11/12,2.2,完全免费,CyxB,1.5以上,233,54,1,0,0,0,1,0,0,30,4,49,1510,1,1.5,0,2 
1009,吃货大食堂汉化版,5.7,模拟经营,中文,30℃,2012/4/28,1.0.0,完全免费,Kairosoft,1.6以上,297,167,8,0,0,1,0,0,0,30,4,56,1708,1,1.6,0,1 
1010,口袋学院2汉化版,5.5,模拟经营,中文,30℃,2012/4/27,1.0.3,完全免费,Kairosoft,1.6以上,236,176,8,0,0,1,0,0,0,30,4,56,1709,1,1.6,0,1 
1011,钢铁冲击手,5.1,动作游戏,英文,30℃,2012/1/9,1.23,完全免费,iELFGame,2.2以上,141,57,2,0,0,0,1,0,0,30,4,59,1818,1,2.2,0,1 
1012,模拟城市破解豪华版(含数据包),4.7,模拟经营,中文,30℃,2011/11/9,0.0.13,完全免费,EA,1.6以上,368,288,28,1,0,1,0,0,0,30,5,61,1879,1,1.6,0,0 
1013,钻石旋风2,,益智休闲,中文,30℃,2011/10/10,1.0.7,完全免费,Gameloft,1.5以上,81,32,32,0,0,1,0,0,0,30,5,62,1909,1,1.5,0,1 
1014,韩式连连看,5,益智休闲,韩文,30℃,2011/9/10,1.2,完全免费,AndromedaGames,2.1以上,63,27,1,0,0,0,0,0,1,30,5,63,1939,1,2.1,1,1 
1015,怪物大战野猪男,,益智休闲,英文,30℃,2011/8/24,2.1.3,完全免费,,1.5以上,138,8,0,0,0,0,1,0,0,30,5,64,1956,1,1.5,0,2 
1016,TNA拳击大赛,5.1,格斗游戏,英文,30℃,2011/5/21,1.0.1,完全免费,南梦宫NAMCO,2.0.1以上,309,77,4,0,0,0,1,0,0,30,5,67,2051,1,2.01,0,1 
1017,斩魔历险记,4.9,角色扮演,中文,30℃,2011/5/10,1,完全免费,多乐科技,1.5以上,268,114,1,0,0,1,0,0,0,30,5,67,2062,1,1.5,0,1
1018,FIFA2010足球盛宴(含数据包),5,体育运动,英文,30℃,2010/9/20,1.0.41,完全免费,EA,2.0以上,290,107,28,1,0,0,1,0,0,30,6,75,2294,1,2,0,1 
1019,FC经典坦克大战1.0,,射击游戏,中文,30℃,2010/8/5,1,完全免费,,1.5以上,32,4,0,0,0,1,0,0,0,30,6,76,2340,1,1.5,0,1
1020,火柴人部落,5,格斗游戏,中文,29℃,2016/9/14,1.1.4,道具收费,上海岩火网络科技有限公司,4.0以上,272,175,1,0,0,1,0,0,0,29,0,3,108,0,4,0,1 
1021,钓大鱼,,益智休闲,英文,29℃,2016/8/31,2.7.3,完全免费,pascal inc.,4.0.3以上,84,34,1,0,0,0,1,0,0,29,0,4,122,1,4.03,0,2 
1022,狙击世界,4.7,射击游戏,中文,29℃,2016/8/24,14.7.24,完全免费,coder1cv8,2.3以上,136,81,1,0,0,1,0,0,0,29,0,4,129,1,2.3,0,14
1023,入侵农场USA,,射击游戏,中文,29℃,2016/8/22,1.3.7,完全免费,HandyGames,2.3.3以上,151,58,3,0,0,1,0,0,0,29,0,4,131,1,2.33,1,1 
1024,三连棋,5,棋牌游戏,英文,29℃,2016/5/30,8.0.60,完全免费,Wintrino mobile prime,2.3以上,67,42,1,0,0,0,1,0,0,29,0,7,215,1,2.3,0,8 
